base,fr
thesaurus_no_items_to_insert,Pas de nouvel item à insérer dans la base de données
vocabulary_no_data_to_insert,Pas de nouvelles données à insérer dans la base de données
column,Colonne
columns,Colonnes
import_thesaurus_success,Terminologie importée avec succès
import_vocabulary_table_success,Table de terminologie ajoutée avec succès
scripts_cache_memory,Mémoire cache
edit_dataset_code,Editer le code du set de données
edit_thesaurus_code,Editer le code de la terminologie
edit_vocabulary_code,Editer le code de la terminologie
data_source,Source de données
data_source_id,ID de la source de données
show_only_aggregated_data,N'autoriser l'accès qu'aux données agrégées
people_picker,Choisir les utilisateurs
matching_people,Personnes correspondantes
thesaurus_items_management_card,Concepts des terminologies
num_rows,Lignes
num_patients,Patients
concepts_rows,Lignes
persons_rows,Patients
thesaurus_categories_card,Gérer les catégories
thesaurus_conversions_card,Gérer les conversions
thesaurus_mapping_card,Gérer les alignements de concepts
plugins_delete,Suppression de plugins
plugins_delete_subtext,Confirmer la suppression du ou des plugin(s) ?
mapping_delete,Suppression d'alignement de concepts
mapping_delete_subtext,Confirmer la suppression de l'alignement ou des alignement(s) de concepts ?
tab_type,Type d'onglet
last_update,Dernière modification
updated_on,Modifié le
thesaurus_selected_items,Items sélectionnés
replace_already_existing_plugins,Remplacer les plugins déjà existants
plugins_to_export,Plugins à exporter
image_url,URL de l'image
no_results_found,Pas de résultats
french,Français
english,Anglais
description_french,Française
description_english,Anglaise
author,Auteur
browse,Parcourir
import_image,Importer une image
back,Retour
download,Télécharger
update,Mettre à jour
download_plugin,Télécharger le plugin
no_plugin_available,Pas de plugin disponible
plugin_added,Nouveau plugin ajouté
unauthorized_action,Action non autorisée
plugins_deleted,Plugin(s) supprimé(s)
mapping_deleted,Alignement(s) de concepts supprimée(s)
install_plugin,Installer ce plugin
update_plugin,Mettre à jour ce plugin
plugin_up_to_date,Plugin à jour
local_plugin_newer,Le plugin local est plus récent
error_install_github_plugin,Erreur lors de l'installation d'un plugin depuis le git distant
success_installing_github_plugin,Plugin installé avec succès depuis le git distant
success_importing_plugin,Plugin(s) importé(s) avec succès
success_importing_dataset,Set de données importé avec succès
error_importing_plugin,Erreur lors de l'importation du ou des plugin(s)
error_importing_image,Erreur lors de l'importation de l'image
unique_id,ID unique
type,Type
refresh,Rafraîchir
delete_selection,Supprimer la sélection
imported_plugins,Plugins importés
image_imported,Image importée
never,Jamais
same_level_current_tab,Même niveau que l'onglet actuel
level_under,Niveau d'en-dessous
add_a_tab,Ajouter un onglet
edit_a_tab,Editer un onglet
add_a_widget,Ajouter un widget
invalid_dataset_id_value,Valeur de dataset_id non valide
var_type_not_valid,La variable 'type' n'est pas valide
error_loading_csv,Erreur lors du chargement du fichier CSV
error_transforming_tibble,Erreur dans la conversion de la variable au format tibble
valid_col_names_are,Noms de colonnes non valides. Les noms requis sont : 
error_saving_csv,Erreur dans l'enregistrement du fichier CSV
error_linking_stays_with_thesaurus,Erreur dans le merge entre stays & thesaurus
import_dataset_success_person,Variable person importée avec succès
import_dataset_success_observation_period,Variable observation_period importée avec succès
import_dataset_success_visit_occurrence,Variable visit_occurrence importée avec succès
import_dataset_success_visit_detail,Variable visit_detail importée avec succès
import_dataset_success_condition_occurrence,Variable condition_occurrence importée avec succès
import_dataset_success_drug_exposure,Variable drug_exposure importée avec succès
import_dataset_success_procedure_occurrence,Variable procedure_occurrence importée avec succès
import_dataset_success_device_exposure,Variable device_exposure importée avec succès
import_dataset_success_measurement,Variable measurement importée avec succès
import_dataset_success_observation,Variable observation importée avec succès
import_dataset_success_death,Variable death importée avec succès
import_dataset_success_note,Variable note importée avec succès
import_dataset_success_note_nlp,Variable note_nlp importée avec succès
import_dataset_success_specimen,Variable specimen importée avec succès
import_dataset_success_fact_relationship,Variable fact_relationship importée avec succès
import_dataset_success_location,Variable location importée avec succès
import_dataset_success_location_history,Variable location_history importée avec succès
import_dataset_success_care_site,Variable care_site importée avec succès
import_dataset_success_provider,Variable provider importée avec succès
import_dataset_success_payer_plan_period,Variable payer_plan_period importée avec succès
import_dataset_success_cost,Variable patients importée avec succès
import_dataset_success_drug_era,Variable drug_era importée avec succès
import_dataset_success_dose_era,Variable dose_era importée avec succès
import_dataset_success_condition_era,Variable condition_era importée avec succès
rows,Lignes
fail_load_code,Erreur lors du chargement du code
fail_execute_code,Erreur lors de l'éxécution du code
fail_execute_dataset_code,Erreur lors de l'éxécution du code du set de données
patient_lvl_tab_group,Données individuelles - groupe d'onglets
aggregated_tab_group,Données agrégées - groupe d'onglets
invalid_subset_id_value,Valeur de subset_id non valide
error_inserting_data,Erreur lors de l'insertion de données dans la BDD
add_persons_to_subset,Ajouter des patients au subset
add_persons_subset_success,Insertion de patients dans le subset avec succès
remove_persons_subset_success,Suppression de patients du subset avec succès
studies_delete,Suppression d'études
studies_delete_subtext,Confirmer la suppression du ou des étude(s) ?
studies_deleted,Etude(s) supprimée(s)
subsets_delete,Suppression de subsets
subsets_delete_subtext,Confirmer la suppression du ou des subset(s) ?
subsets_deleted,Subset(s) supprimé(s)
subset_persons_delete,Suppression de patients
subset_persons_delete_subtext,Confirmer la suppression du ou des patient(s) ?
subset_persons_deleted,Patient(s) supprimé(s)
datasets_delete,Suppression de sets de données
datasets_delete_subtext,Confirmer la suppression du ou des set(s) de données ?
datasets_deleted,Set(s) de données supprimé(s)
data_sources_delete,Suppression de sources de données
data_sources_delete_subtext,Confirmer la suppression du ou des source(s) de données ?
data_sources_deleted,Source(s) de données supprimée(s)
vocabulary_delete,Suppression de terminologie
vocabulary_delete_subtext,Confirmer la suppression de la ou des terminologie(s) ?
vocabulary_deleted,Terminologie(s) supprimée(s)
thesaurus_reload_cache_text,Recharger le cache
thesaurus_reload_cache_subtext,Confirmer la recharge du cache ?
yes,Oui
no,Non
thesaurus_items_delete,Suppression d'items
thesaurus_items_delete_subtext,Confirmer la suppression du ou des item(s) ?
thesaurus_items_deleted,Item(s) supprimé(s)
abbreviation,Abréviation
name_abbreviation,Nom / Abréviation
invalid_table_name,Nom de table non valide
tables_allowed,Tables autorisées
show_plots,Afficher les figures
var_containing_item,Variable contenant cet item
evaluate,Evaluer
evaluate_and_edit,Evaluer & éditer
edit,Modifier
vocabulary1,Terminologie 1
vocabulary2,Terminologie 2
concept_1_is,L'item 1
to_concept_2,l'item 2
equivalent_to,Est équivalent à
included_in,Est inclus dans
include,Inclut
item_colour, Couleur de l'item
load_some_patient_data_plugin,Charger des données avant d'exécuter le code du plugin
patient_id,ID du patient
person_id,ID du patient
stay_id,ID du séjour
visit_detail_id,ID du séjour
add_concept_mapping,Ajouter un alignement de concepts
evaluate_concept_mapping,Evaluer un alignement de concepts
add_and_evaluate_concept_mapping,Ajouter et évaluer un alignement de concepts
vocabularies_and_concepts,Terminologies & concepts
whats_a_vocabulary,Qu'est-ce qu'une terminologie ?
whats_a_concept_mapping,Qu'est ce qu'un alignement de concepts ?
vocabularies_concepts_mapping,Alignement de concepts
vocabulary_mapping_added,Nouveau mapping ajouté
thesaurus_item_added,Nouvel item ajouté
vocabulary_mapping_already_exists,Ce mapping existe déjà
thesaurus_item_already_exists,Cet item existe déjà dans la terminologie
checked,Vérifié
relation,Relation
positive_evals,Evals positives
negative_evals,Evals négatives
plus_symbol,+
minus_symbol,-
error_connection_github,Impossible de se connecter au git distant
user_evaluation_id,ID évaluation utilisateur
only_aggregated_data_authorized,Seules les données agrégées sont autorisées pour ce set de données
remove_tab,Supprimer l'onglet
edit_tab,Editer l'onglet
new_widget,Ajouter un widget
patient_lvl_tabs_delete,Suppression d'onglet
patient_lvl_tabs_delete_subtext,Confirmer la suppression de cet onglet ?
patient_lvl_tab_deleted,Onglet supprimé
patient_lvl_tab_added,Onglet ajouté
patient_lvl_widget_added,Widget ajouté
patient_lvl_widgets_delete,Suppression de widget
patient_lvl_widgets_delete_subtext,Confirmer la suppression de ce widget ?
patient_lvl_widget_deleted,Widget supprimé
aggregated_tabs_delete,Suppression d'onglet
aggregated_tabs_delete_subtext,Confirmer la suppression de cet onglet ?
aggregated_tab_deleted,Onglet supprimé
aggregated_tab_added,Onglet ajouté
aggregated_widget_added,Widget ajouté
aggregated_widgets_delete,Suppression de widget
aggregated_widgets_delete_subtext,Confirmer la suppression de ce widget ?
aggregated_widget_deleted,Widget supprimé
tab_contains_sub_tabs,Cet onglet contient des sous-onglets. Cliquer de nouveau sur le lien de l'onglet pour afficher les sous-onglets.
add_tab_has_widgets,Impossible d'ajouter un onglet en-dessous de celui-ci parce qu'il contient au moins un widget. Supprimer ces widgets avant.
widget_name,Nom du widget
error_run_plugin_ui_code,Erreur à l'éxécution du code de l'interface utilisateur du plugin
error_run_plugin_server_code,Erreur à l'éxécution du code serveur du plugin
show_used_items,Afficher les items utilisés
positive_evals_short,Eval. pos.
negative_evals_short,Eval. nég.
all_messages,Tous les messages
new_conversation,Nouvelle conversation
send,Envoyer
preview,Aperçu
today,Aujourd'hui
rmarkdown,RMarkdown
new_conversation_added,Nouvelle conversation ajoutée
conversation_id,ID de la conversation
conversation_name,Nom de la conversation
object,Objet
unread_messages,Messages non lus
new_message,Nouveau message
new_message_added,Nouveau message ajouté
thesaurus_error_append_table,Erreur lors de l'ajout des nouveaux items dans la base de données
vocabulary_error_append_table,Erreur lors de l'ajout des nouveaux concepts dans la base de données
error_multiple_primary_keys,Certaines clefs primaires sont dupliquées. Retirer les duplicats avant d'importer la table de terminologie.
error_multiple_identical_values,Certaines valeurs sont dupliquées. Retirer les duplicats avant d'importer la table de terminologie.
invalid_category,Catégorie non valide
error_duplicate_mappings,Certains mappings d'items sont dupliqués. Retirer les duplicats avant d'importer la terminologie.
datatable_view,Tableau
tree_view,Arbre
fail_load_list_file,Erreur lors du chargement du fichier liste
fail_save_list_file,Erreur lors l'enregistrement du fichier liste
none_masc,Aucun
none_fem,Aucune
unroll_tree,Dérouler l'arbre
merge_mapped_items,Fusionner les concepts alignés
vocabulary_mapping_same_items,Un concept ne peut être aligné avec lui-même (hormis pour 'Correspond à')
mapped_item,Item aligné
widget_settings,Paramétrer un widget
image,Image
plugin_deleted,Plugin supprimé
translations,Traductions
error_creating_translations_file,Erreur de la création du fichier de traductions
error_creating_new_translator,Erreur lors de la création de la variable de traduction
delete_this_image,Supprimer cette image
error_deleting_image,Erreur lors de la suppression de l'image
image_deleted,Image supprimée
plugin_image_delete,Supprimer une image
plugin_image_delete_subtext,Confirmer la suppression de cette image ?
no_available_plugin,Pas de plugin disponible
activate_scripts_cache,Activer la mise en mémoire cache
last_cache_load_datetime,Date du dernier chargement du cache
deleted_script,Script supprimé
scripts_loaded_successfully,Scripts chargés avec succès
scripts_with_load_failure,Scripts avec échec de chargement
create_subset,Créer un subset
subset_management,Gestion du subset
subsets_management,Gestion des subsets
edit_subset_code,Editer le code du subset
sql_lib,Librairie SQL
deleted_data_source,Source de données supprimée
perf_monitoring,Mesures des performances
to_do_list,To do list
elapsed_time,Temps écoulé (s)
task,Tâche
datetime_start,Début
datetime_stop,Fin
fail_connect_remote_db,Echec lors de la connexion à la base de données distante
success,Succès
successfully_connected,Connecté avec succès
reload_app_to_take_into_account_changes,Vous devez redémarrer la session pour prendre en compte les changements
modif_names_duplicates,Certains noms sont utilisés plusieurs fois, retirez-les avant de sauvegarder
error_restoring_database,Erreur lors de la restauration de la base de données
database_restored,Base de données restaurée
reload_log,Recharger le log
value,Valeur
subset_persons,Patients du subset
admin,Admin
admin_access,Accès admin
data_scientist,Data scientist
clinician,Clinicien
statistician,Statisticien
mimic_iv_test_dataset,MIMIC-IV set de données test
mortality_prediction,Prédiction de la mortalité
fail_execute_subset_code,Echec lors de l'éxécution du code du subset
error_adding_patients_to_subset,Erreur lors de l'ajout de patients au subset
name_fr,Nom (FR)
name_en,Nom (EN)
category_fr,Catégorie (FR)
category_en,Catégorie (EN)
names_empty,Au moins un nom est vide, remplissez-le avant de sauvegarder
error_removing_patients_from_subset,Erreur lors de la tentative de suppression de patients du subset
help,Aide
no_help_for_this_page,Pas d'aide pour cette page
create_and_test_a_plugin,Créer et tester un plugin
create_a_plugin,Créer un plugin
whats_a_plugin,Qu'est ce qu'un plugin ?
local_and_remote_plugins,Plugins locaux et distants
access_log,Accéder au log
change_password_card_user_access_description,Changer le mot de passe du compte actuel
db_connection_infos_card_user_access_description,Configurer les connexions à la base de données de l'application
db_datatable_card_user_access_description,Accéder à la liste des tables de la BDD de l'application
db_request_card_user_access_description,Requêter la BDD de l'application
db_save_card_user_access_description,Exporter la BDD de l'application
db_restore_card_user_access_description,Restaurer la BDD de l'application
users_creation_card_user_access_description,Créer un utilisateur
users_management_card_user_access_description,Gérer les utilisateurs (éditer et supprimer)
users_accesses_management_card_user_access_description,"Gérer les accès utilisateurs (ajouter, éditer et supprimer)"
users_accesses_options_card_user_access_description,Configurer les accès utilisateurs
users_statuses_management_card_user_access_description,"Gérer les statuts des utilisateurs (ajouter, éditer et supprimer)"
dev_edit_code_card_user_access_description,Exécuter du code dans la console R sans restriction d'accès aux données
dev_perf_monitoring_card_user_access_description,Accéder aux mesures des performances
data_sources_datatable_card_user_access_description,"Gérer les sources de données (ajouter, éditer et supprimer)"
datasets_see_all_data_user_access_description,"Accéder à tous les sets de données, même ceux pour lesquels l'utilisateur n'est pas dans les utilisateurs autorisés"
datasets_datatable_card_user_access_description,"Gérer les sets de données (ajouter, éditer et supprimer)"
datasets_options_card_user_access_description,Editer les options des sets de données
datasets_edit_code_card_user_access_description,Editer le code des sets de données
studies_see_all_data_user_access_description,"Accéder à toutes les études, même celles pour lesquelles l'utilisateur n'est pas dans les utilisateurs autorisés"
studies_messages_card_user_access_description,Accéder aux conversations des études
studies_description_card_user_access_description,Accéder aux descriptions des études
studies_datatable_card_user_access_description,"Gérer les études (ajouter, éditer et supprimer)"
studies_options_card_user_access_description,Editer les options des études
subsets_datatable_card_user_access_description,"Gérer les subsets (ajouter, éditer et supprimer)"
subsets_edit_code_card_user_access_description,Editer le code des subsets
subsets_persons_card_user_access_description,Gérer les patients des subsets (ajouter et supprimer des patients d'un subset)
vocabularies_datatable_card_user_access_description,"Gérer les terminologies (ajouter, éditer et supprimer)"
vocabularies_vocabularies_tables_datatable_card_user_access_description,"Accéder aux tables des terminologies (depuis la page des paramètres)"
vocabularies_edit_code_card_user_access_description,Editer le code des terminologies
vocabularies_import_vocabulary_card_user_access_description,Importer une terminologie
vocabularies_concepts_card_user_access_description,Accéder aux concepts des terminologies (depuis l'onglet en haut de la page)
vocabularies_mapping_card_user_access_description,Accéder aux alignements de concepts
plugins_see_all_data_user_access_description,"Accéder à tous les plugins, même ceux pour lesquels l'utilisateur n'est pas dans les utilisateurs autorisés"
all_plugins_card_user_access_description,Accéder à l'onglet 'Tous les plugins'
plugins_datatable_card_user_access_description,"Gérer les plugins (ajouter, éditer et supprimer)"
plugins_options_card_user_access_description,Editer les options des plugins
plugins_edit_code_card_user_access_description,Editer le code des plugins
import_plugin_card_user_access_description,Importer un plugin
export_plugin_card_user_access_description,Exporter un plugin
scripts_datatable_card_user_access_description,"Gérer les scripts (ajouter, éditer et supprimer)"
scripts_descriptions_card_user_access_description,Accéder aux descriptions des scripts
dataset_scripts_card_user_access_description,Configurer les scripts des datasets (quels scripts seront exécutés au chargement d'un dataset)
scripts_edit_code_card_user_access_description,Editer le code des scripts
scripts_options_card_user_access_description,Editer les options des scripts
all_users_user_access_description,Accéder au log de tous les utilisateurs
only_me_user_access_description,Accéder au log de l'utilisateur connecté
vocabulary_id_col,ID (vocabulary_id)
vocabulary_id,ID de la terminologie
vocabulary_id_1,ID terminologie 1
vocabulary_id_2,ID terminologie 2
vocabulary_name_col,Nom (vocabulary_name)
vocabulary_name,Nom de la terminologie
vocabulary,Terminologie
